experimento	fecha	cols	rows	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTe	20220717 160504	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.102670238182691	0.727039768656687	227	11765	9.11258349828131	167.502729616535	7.95882046659244	0.504103925696109	174	0.179257456119621	11210	13990000	20
8122HTe	20220717 160521	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.249399688014964	0.226058373026899	929	19733	9.92716162392753	160.494163770636	0.291383671283256	0.815381633216748	594	0.179716115002921	11352	13848000	21
8122HTe	20220717 160528	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.23801259442298	0.292013114404108	704	1288	3.36531637083681	50.5559371245909	16.8544947737246	0.760462567239301	32	0.159505464909268	10766	14674000	22
8122HTe	20220717 160535	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0251837316829187	0.138866281077208	305	34457	4.15149149695935	13.6184843388037	13.040500228235	0.48706224783673	1	0.061291827767194	159388	-120508000	23
8122HTe	20220717 160540	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.204775018841538	0.84983957628865	828	49467	3.76697691732261	137.34763895045	3.22268894509762	0.456999925296987	1	0.061291827767194	159388	-120508000	24
8122HTe	20220717 160551	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0844580216454051	0.206335893971118	1727	9936	6.05595331609948	102.78683823708	15.9106756460096	0.323224405827932	200	0.159278763582145	12428	14212000	25
8122HTe	20220717 160558	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0405702837424906	0.409881896687875	1984	43435	4.77608206987497	62.0001838251483	0.965645238611614	0.396576301543973	1	0.061291827767194	159388	-120508000	26
8122HTe	20220717 160603	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.294690915177707	0.331150920037908	578	45444	8.72410765703535	28.6267230243539	14.5315009499609	0.879410313069821	1	0.061291827767194	159388	-120508000	27
8122HTe	20220717 160615	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0795024764937261	0.99559500686446	617	2351	7.51178034573968	42.0176811865531	10.2496962859004	0.99561281936476	90	0.171384891547442	10486	14834000	28
8122HTe	20220717 160628	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.275782694273366	0.690764488731656	1158	4882	4.55557262423099	110.483164907782	2.86944627936464	0.215149890992325	96	0.18577485379246	9922	15518000	29
