experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTb	20220713 155826	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.251377977160155	0.537928635570279	921	16856	1	0.058424813091033	159386	-120506000	1
8122HTb	20220713 155833	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.15833909300025	0.298612862653681	1537	9472	1	0.058424813091033	159386	-120506000	2
8122HTb	20220713 155838	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.175375577628583	0.686160657004802	1477	11476	1	0.058424813091033	159386	-120506000	3
8122HTb	20220713 155900	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0671463710466924	0.574435478103987	1135	6618	439	0.199775290851974	11500	12980000	4
8122HTb	20220713 155905	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.205689009856724	0.624231052292453	213	14437	1	0.058424813091033	159386	-120506000	5
8122HTb	20220713 155920	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134327727155323	0.931568332501047	381	19329	1	0.058424813091033	159386	-120506000	6
8122HTb	20220713 155928	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0431967635563342	0.266570475262415	1378	12963	1	0.058424813091033	159386	-120506000	7
8122HTb	20220713 155934	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0892543624149403	0.875057687386288	1969	23513	1	0.058424813091033	159386	-120506000	8
8122HTb	20220713 155959	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.232834984199144	0.14383139655547	679	103	150	0.000700008517869301	12356	14644000	9
8122HTb	20220713 160014	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.222787960023852	0.80892196491186	524	4679	471	0.161662091040292	13160	13360000	10
8122HTb	20220713 160022	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0500631127040833	0.465418965014396	64	21467	1	0.058424813091033	159386	-120506000	11
8122HTb	20220713 160029	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.297100561049447	0.417834569008846	1822	8910	1	0.058424813091033	159386	-120506000	12
8122HTb	20220713 160036	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.149445420397969	0.164756540827511	1188	21883	1	0.058424813091033	159386	-120506000	13
8122HTb	20220713 160047	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.107909785007796	0.978785124701972	1714	2791	167	0.199570023454287	10292	13948000	14
8122HTb	20220713 160125	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0214880429112236	0.375790691073053	456	5575	1233	0.211187234342715	10830	13050000	15
8122HTb	20220713 160131	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.281583692271233	0.758773708186345	820	18164	1	0.058424813091033	159386	-120506000	16
8122HTb	20220713 160212	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0330022138234004	0.83381326766344	1046	5175	1780	0.173897967017126	12476	14404000	17
8122HTb	20220713 160223	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.152983703495972	0.523809214765442	802	2265	63	0.236384799045679	8702	13858000	18
8122HTb	20220713 160245	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.221051729033977	0.82283816890358	1336	408	412	0.00162369900955967	9866	13054000	19
8122HTb	20220713 160304	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0802208113439011	0.775191611407786	329	6103	609	0.196800693989265	11312	13408000	20
8122HTb	20220713 160320	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.125684951552684	0.572664166593197	1332	4066	234	0.16706968201581	13088	14632000	21
8122HTb	20220713 160330	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.274917417761519	0.900963260643276	1139	2804	82	0.167929055002063	11928	14112000	22
8122HTb	20220713 160341	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.223066081364285	0.239888146621235	1767	1085	59	0.184911286788781	10740	14220000	23
8122HTb	20220713 160403	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0775325890693434	0.607265246704184	1034	5750	735	0.196689057040187	11298	14022000	24
8122HTb	20220713 160424	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0301539353900587	0.191193159236394	1314	461	194	0.189802963077908	10092	16068000	25
8122HTb	20220713 160436	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171603734438166	0.999189515372347	688	3586	235	0.187489753124372	11190	14370000	26
8122HTb	20220713 160503	785	16671	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.135018727832685	0.301558512395941	1527	3	326	0.000163238890250448	11182	13538000	27
