experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTc	20220714 151248	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.160255476945604	0.376586052501737	884	9598	350	0.187834047177688	10196	15484000	103
8122HTc	20220714 151320	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.124225503577115	0.563124464816041	731	12061	668	0.199944281656418	9302	15058000	104
8122HTc	20220714 151333	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144812719912427	0.164488068650709	1431	15019	304	0.20334757500986	10522	13718000	105
8122HTc	20220714 151430	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0324243605790776	0.513292195390165	1963	15051	1565	0.200462214337627	10510	14090000	106
8122HTc	20220714 151452	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.114807162203032	0.995964059002022	1677	3908	186	0.164184203673648	11330	15190000	107
8122HTc	20220714 151525	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0343821227557934	0.544028218840365	1248	2276	419	0.202451306869187	8838	16002000	108
8122HTc	20220714 151550	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.158583915213298	0.497974649444339	1615	21896	610	0.25125856013926	8104	13016000	109
8122HTc	20220714 151651	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0475490159636203	0.997130173891416	77	510	473	0.0766364070049838	9400	15800000	110
8122HTc	20220714 151744	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100153909127805	0.100272599378805	94	1374	1690	0.192795141744107	8780	16180000	111
8122HTc	20220714 151825	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0101265113273268	0.132020829677311	93	3424	1007	0.19109697727829	9884	16036000	112
8122HTc	20220714 152023	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0104838377181833	0.100025470603626	567	8095	5666	0.203840187772888	9454	15506000	113
8122HTc	20220714 152221	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0550980234174164	0.857458047988355	1019	10	821	0.000504738301023814	8236	16004000	114
8122HTc	20220714 152240	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.228319158783619	0.851640584707674	1094	3739	150	0.214337852134813	8306	14974000	115
8122HTc	20220714 152254	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.273160389013879	0.396578101772489	744	2666	76	0.200807038528333	9244	14996000	116
