Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.117450378198048	0.0143468533893144	0.0056379821958457
ctrx_quarter	0.0928172692268691	0.00846556765194069	0.00368447082096934
mcaja_ahorro	0.0503697310588887	0.00904238020399812	0.0054648862512364
mcuentas_saldo	0.0399396975200819	0.0160486318174855	0.0102868447082097
mtarjeta_visa_consumo	0.0378221067508115	0.0132650468957782	0.00573689416419387
mv_status07_delta3	0.0331156830860299	0.000746051367937596	0.000222551928783383
mdescubierto_preacordado_delta3	0.0285682621094388	0.00254195959371315	0.00118694362017804
mcaja_ahorro_lag1	0.0230689991727106	0.0024757137709407	0.00346191889218595
mpasivos_margen	0.0190291134640518	0.00666328038640391	0.00501978239366963
ctarjeta_visa_trx	0.0186882277957686	0.00869331913314241	0.00445103857566766
mdescubierto_preacordado	0.0184415129515282	0.00140928560489922	0.0013353115727003
mpayroll	0.0156749138125983	0.0154929381333043	0.00521760633036598
cpayroll_trx	0.0145736876285499	0.0122959647458711	0.003486646884273
mprestamos_personales	0.0145439727823009	0.013723726288636	0.00773986152324431
cproductos_delta3	0.0120452064535493	0.00726706358321562	0.002324431256182
mpayroll_sobre_edad	0.0119163781809614	0.0148416511875025	0.00499505440158259
mcuenta_corriente_delta3	0.0117003038447452	0.00419156309611247	0.00338773491592483
mdescubierto_preacordado_delta2	0.0116123284389195	0.00206036245832077	0.00106330365974283
mprestamos_personales_delta3	0.00870221904061115	0.0114569903592779	0.00521760633036598
ctrx_quarter_normalizado_lag1	0.00816766515665963	0.00134032653779732	0.0013353115727003
mv_msaldopesos	0.00706149193548792	0.00307977510624771	0.00276953511374876
foto_mes	0.00602736182990859	0.0100662373028318	0.0129080118694362
ctrx_quarter_normalizado_lag2	0.00581653838501215	0.000548024036437678	0.000890207715133531
mv_status06_mean6	0.00559764972569612	0.000131853146165267	0.000173095944609298
mv_msaldototal	0.00503764890890014	0.00197463701748551	0.00168150346191889
mdescubierto_preacordado_mean6	0.00494565863490541	0.00109494714343881	0.00111275964391691
mv_Finiciomora	0.00469650040610599	0.00579111140373251	0.00185459940652819
mcuentas_saldo_delta3	0.00456529129930962	0.00486605367264061	0.00655291790306627
Visa_Finiciomora	0.00447428770853587	0.0104556378118469	0.00267062314540059
mv_status07_delta2	0.00440054144556362	0.000729127165020703	0.000222551928783383
mprestamos_personales_mean6	0.00420356553291451	0.00269243828468875	0.00259643916913947
cprestamos_personales_mean6	0.00417711825506976	0.00220974957620064	0.00227497527200791
