Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.148449341252661	0.00880724987588803	0.00418077900084674
ctrx_quarter	0.0770104826140352	0.00539962989847057	0.00279159610499577
mtarjeta_visa_consumo	0.046524634270968	0.0100706022889397	0.00551704064352244
mcaja_ahorro	0.0423546660031543	0.00645293270859607	0.00629762912785775
mcuentas_saldo	0.040021742354905	0.0101236812772343	0.0085864733276884
mdescubierto_preacordado_delta3	0.0334553955113188	0.0017644870141661	0.000648285351397121
cpayroll_trx	0.0195164843762128	0.00942638051894149	0.00305620237087214
mprestamos_personales	0.014221692169277	0.00845955082269685	0.00456445808636749
mv_status06_delta3	0.0141140173731691	0.000287059006362469	0.000132303132938188
mpasivos_margen	0.0132280251970403	0.00415961872277588	0.00354572396274344
mdescubierto_preacordado	0.0131119241290178	0.000846037540102014	0.000621824724809483
cproductos_delta3	0.00998448679256266	0.00465689508877017	0.00141564352243861
mpayroll	0.00988698223537106	0.00880731447574846	0.00336049957662997
mpayroll_sobre_edad	0.00924004641886986	0.00718699022377945	0.00273867485182049
ctarjeta_visa_trx	0.00921986027173338	0.00427044795698698	0.00423370025402202
mprestamos_personales_delta3	0.00907715083179403	0.00546259103068618	0.00248729889923793
Visa_status_mean6	0.00805852870508412	0.000398493652878199	0.000171994072819644
foto_mes	0.00793598873900404	0.00875011062289233	0.0100285774767146
mcaja_ahorro_lag1	0.00735871094215685	0.00223909254955748	0.00333403895004234
mv_status07	0.00694134771344343	0.000111263451248583	7.93818797629128e-05
mcuenta_corriente_delta3	0.00651559948055903	0.00301913079105817	0.00329434801016088
mv_status01_mean6	0.00615835152544337	0.000533180923329803	0.000595364098221846
mdescubierto_preacordado_delta2	0.00595284941140614	0.000737552333811148	0.000463060965283658
mv_status07_delta2	0.00585189398054852	0.00095503125890685	0.000185224386113463
Visa_Finiciomora	0.00544606732790888	0.00708379826015424	0.00145533446232007
mv_status07_delta3	0.00529035187831195	0.00035862240481043	9.26121930567316e-05
mpasivos_margen_mean6	0.00521062227635923	0.00117687518417097	0.00252698983911939
ctrx_quarter_normalizado_mean6	0.00517738176996434	0.00108247500225001	0.00120395850973751
mdescubierto_preacordado_mean6	0.00516696108227529	0.00126107416875896	0.00115103725656224
mprestamos_personales_mean6	0.00508227859767125	0.00205346665442459	0.00165378916172735
cproductos_delta2	0.00483706639648599	0.000874041579601862	0.000582133784928027
mactivos_margen	0.00460149108046688	0.00502000256155245	0.00646962320067739
mv_Finiciomora	0.00451502864641701	0.00349117713477076	0.000979043183742591
mcuentas_saldo_delta3	0.0042208675280921	0.00425887714114697	0.00514659187129551
cprestamos_personales_delta3	0.00419094357727766	0.000920441528573699	0.000476291278577477
ccomisiones_mantenimiento_delta3	0.00410029297684037	0.00152676116248043	0.00120395850973751
mactivos_margen_mean6	0.00380077055409817	0.00285703525416515	0.00420723962743438
mdescubierto_preacordado_delta1	0.00379199647690799	0.00347042626162555	0.00104519475021169
ccaja_ahorro	0.0037238115829422	0.00706827230940343	0.00251375952582557
mv_msaldototal	0.00355266616684882	0.000418574513858347	0.000754127857747672
mcuenta_corriente	0.00347966344123845	0.00362605797932424	0.00547734970364098
mprestamos_personales_lag1	0.00339260300223921	0.00173314576616918	0.000965812870448772
mcuenta_corriente_mean6	0.00303899032895552	0.00411096403574326	0.00665484758679086
Visa_Finiciomora_mean6	0.00302802031110484	0.00169201143863122	0.000780588484335309
mv_msaldopesos	0.00301021177819519	0.00106990830007984	0.00113780694326842
cprestamos_personales_mean6	0.00297619384476353	0.0030214703657594	0.00195808636748518
mcaja_ahorro_dolares_delta1	0.00296473541593864	0.00635149869544872	0.00271221422523285
mv_status05_delta3	0.00291788908832708	0.000740049687752668	0.00033075783234547
mrentabilidad_mean6	0.00287480936897958	0.00154430115198655	0.00304297205757832
Master_status	0.00283807188249832	0.000178892346154792	0.000132303132938188
mtransferencias_recibidas	0.00241963378697754	0.00476606163756811	0.00322819644369179
cproductos	0.00230931100978954	0.00561680966871518	0.00447184589331075
mv_mpagospesos	0.00219933397373209	0.000470601922400325	0.000727667231160034
cliente_edad_mean6	0.00215547890587375	0.00455758762862021	0.00650931414055885
mv_status04_delta3	0.00211054285865655	0.000473053109425877	0.00022491532599492
mcuentas_saldo_delta2	0.00207694952622384	0.00299174732735549	0.0048555249788315
mautoservicio	0.00207207487717551	0.00229993394952884	0.00108488569009314
thomebanking_mean6	0.00206391671620455	0.00173127845816144	0.00310912362404742
mrentabilidad_annual_delta1	0.00202223998209034	0.00326077434806708	0.00604625317527519
mcomisiones_mantenimiento	0.00201870033095467	0.00528280251648493	0.00326788738357324
mvr_msaldopesos2_mean6	0.00201457248856963	0.000891436360346645	0.00250052921253175
cliente_vip_lag2	0.00201050793306567	0.00580070489638283	0.00130980101608806
cpayroll_trx_lag1	0.00193470969244819	0.000816784964556057	0.000370448772226926
mprestamos_personales_delta2	0.00189269015765211	0.00403561635943249	0.00173317104149026
mv_fechaalta_delta2	0.00177171708141517	0.00108011316145377	0.000912891617273497
cliente_edad_lag3	0.00176177828732668	0.00466108055093205	0.00525243437764606
mrentabilidad_annual	0.00175337331290764	0.00188824140649198	0.00312235393734124
thomebanking	0.00172550590909408	0.00162709432861689	0.00178609229466554
mrentabilidad_annual_mean6	0.0017158676480284	0.00215438595437329	0.003942633361558
cproductos_delta1	0.00169110450185055	0.00197263396518184	0.000476291278577477
mv_status04_delta2	0.00158586463595928	0.00183341405059589	0.000582133784928027
mtarjeta_visa_debitos_automaticos_delta3	0.00157245000089147	0.00442908633031922	0.00209038950042337
mrentabilidad_annual_delta2	0.00157129368630782	0.00169301673872812	0.00407493649449619
mcuenta_debitos_automaticos	0.00153874789941262	0.00513632503869521	0.0026063717188823
chomebanking_trx_delta1	0.00142178261948962	0.00336908858457024	0.00296359017781541
ccomisiones_mantenimiento_mean6	0.00141987863572101	0.00509991940966734	0.00310912362404742
ctrx_quarter_delta2	0.00141412880197093	0.00103464556997901	0.00235499576629975
mcomisiones_mantenimiento_delta3	0.00140533343114804	0.0036740830150121	0.00248729889923793
ctrx_quarter_normalizado_delta2	0.00139096853129406	0.00113920591197431	0.00244760795935648
mtransferencias_emitidas_mean6	0.00138096507785195	0.00297456291893109	0.00411462743437765
ctrx_quarter_delta1	0.00137924667823071	0.00128673062903734	0.00289743861134632
tcallcenter	0.00136177043605326	0.00107484195940367	0.000740897544453853
mcuenta_corriente_lag1	0.00135542501496399	0.000996182384663314	0.00235499576629975
mv_status01	0.00133813567721561	0.000333205178221137	0.000198454699407282
cliente_edad_lag2	0.00130916473865427	0.00250516686059227	0.00403524555461473
mcaja_ahorro_delta3	0.00129375915397587	0.00193558650891928	0.00257991109229467
ccomisiones_mantenimiento	0.00128518157619168	0.00408673125266839	0.00146856477561389
chomebanking_trx_delta3	0.0012799907838097	0.00276348721542939	0.00322819644369179
mrentabilidad_annual_delta3	0.00127946463602434	0.00254350219906375	0.00375740897544454
ccaja_seguridad	0.00127566267548501	0.00462898383406114	0.00125687976291279
ctrx_quarter_normalizado_delta3	0.00126650803124026	0.00145500588102642	0.00248729889923793
mcuentas_saldo_delta1	0.00126641714012316	0.00662364702809064	0.00411462743437765
mrentabilidad	0.00126447393039351	0.00152705648418099	0.00322819644369179
tmobile_app_delta2	0.0012642439868996	0.000895695046957663	0.00263283234546994
ctransferencias_recibidas_mean6	0.00126174349092671	0.00290650070890517	0.0041543183742591
ccomisiones_mantenimiento_delta1	0.00126047786676393	0.00267047903085018	0.00121718882303133
numero_de_cliente	0.0012518856283848	0.00215787930738469	0.00431308213378493
internet_delta3	0.00124304228594292	0.00145146743212641	0.00222269263336156
cliente_edad	0.0012351303160923	0.0023570772611545	0.00387648179508891
chomebanking_trx_delta2	0.00123332679401145	0.00357063671057512	0.00277836579170195
cprestamos_personales	0.00120926687711962	0.000876729181823468	0.000582133784928027
mactivos_margen_lag1	0.00120190857653811	0.00173762784653841	0.00334726926333616
chomebanking_trx_mean6	0.001201182141629	0.00120503080222642	0.00287097798475868
mcuentas_saldo_lag2	0.00119663124194274	0.0027352269185425	0.00334726926333616
mcaja_ahorro_mean6	0.00119632623341466	0.00254368275172778	0.0037309483488569
mcuenta_corriente_delta2	0.00119609345006452	0.00339886562530076	0.00273867485182049
ctrx_quarter_normalizado_delta1	0.00119151525134379	0.0015052305814211	0.00254022015241321
mcomisiones_mantenimiento_mean6	0.00118711473974187	0.0017436770654068	0.00256668077900085
ctarjeta_visa_trx_delta3	0.00117919842286768	0.00145937657455078	0.00179932260795936
Visa_msaldopesos	0.00117901409233656	0.00257071424201983	0.0026725232853514
mv_Finiciomora_mean6	0.00117356065236117	0.00112439315270192	0.00099227349703641
mrentabilidad_annual_lag1	0.00116443968838641	0.00135397981656143	0.00357218458933108
mprestamos_personales_lag3	0.00116173282751619	0.00050414492078891	0.000515982218458933
mrentabilidad_annual_lag2	0.00116153663827646	0.00155494383806905	0.00371771803556308
mv_mpagominimo	0.00115077379202912	0.00280129741227797	0.00213008044030483
ccaja_ahorro_delta3	0.00114624347250481	0.00774617552216828	0.00115103725656224
mcuentas_saldo_lag1	0.0011437602160147	0.00412859618997173	0.00381033022861981
Visa_fechaalta_delta2	0.00113244282690179	0.000920002181878888	0.000714436917866215
ctrx_quarter_delta3	0.00111651351645515	0.00198961375101166	0.00248729889923793
Visa_mpagominimo	0.00110713622784349	0.00171753627528472	0.00308266299745978
mpagomiscuentas	0.00109618072551482	0.00438281794860241	0.00185224386113463
Visa_msaldototal	0.00108655354364353	0.00097662576338829	0.00182578323454699
mactivos_margen_delta3	0.00108539347661871	0.00166755988412671	0.00341342082980525
mcomisiones_otras_mean6	0.00105866597982507	0.00214503515275983	0.00250052921253175
mv_status06	0.0010575222150883	0.000204603767047423	0.000119072819644369
mcuenta_corriente_lag3	0.00105384091911751	0.00179570402298989	0.00287097798475868
mcaja_ahorro_dolares_delta3	0.00104403645539993	0.00177419734275153	0.0015479466553768
mcaja_ahorro_delta1	0.00103543791849048	0.00488402509772763	0.00271221422523285
cliente_edad_lag1	0.00102248172973536	0.00209475396976467	0.00320173581710415
mpayroll_delta3	0.00101267715333651	0.00325284045927383	0.0015479466553768
ccallcenter_trx_delta3	0.00101133568396804	0.00068107176263851	0.000542442845046571
Master_status_mean6	0.00100704810337751	0.000295074518714103	0.000211685012701101
cplazo_fijo	0.00100425198713214	0.00427673967899639	0.000820279424216766
ccallcenter_trx	0.00100157197043954	0.00421566101828106	0.00158763759525826
ccomisiones_otras_mean6	0.000992150619728695	0.00453769132256421	0.00346634208298053
ccaja_ahorro_mean6	0.000984027290982515	0.00139257580926909	0.00130980101608806
mv_status03_delta3	0.000978579808529474	0.000103368795878431	5.29212531752752e-05
ccallcenter_trx_mean6	0.000978139355242214	0.00240987766959717	0.00252698983911939
ctransferencias_emitidas_mean6	0.000972968854590505	0.00121166418196193	0.0023946867061812
