experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTg	20220721 144951	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0321834246321814	0.452353621323709	970	2297	519	0.20657505135861	8728	15992000	23
8122HTg	20220721 145032	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0270784806811716	0.443787715869141	1435	1973	647	0.191903441078155	9082	15398000	24
8122HTg	20220721 145059	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.03642410422588	0.279692261580727	1197	1684	482	0.180097550615243	9384	15336000	25
8122HTg	20220721 145204	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0157311677632853	0.594859796612873	1406	1343	735	0.201683641967362	8600	16360000	26
8122HTg	20220721 145224	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0503393224697793	0.191834779089666	476	2344	425	0.189383146737367	9398	15202000	27
8122HTg	20220721 145257	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042645215399377	0.572970905889757	584	1796	381	0.20601380355562	8452	15788000	28
8122HTg	20220721 145326	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0272711263895268	0.362631405337714	1361	1784	438	0.210152747967152	8536	16064000	29
8122HTg	20220721 145347	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319860344958142	0.226536941436818	1476	1570	283	0.21214899738555	8480	16240000	30
8122HTg	20220721 145405	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0473779477705481	0.262968906419934	1143	1850	244	0.205769256971069	8836	15764000	31
8122HTg	20220721 145438	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0216470282191294	0.269228929166566	172	1779	658	0.191321494538058	9224	15736000	32
8122HTg	20220721 145458	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0246047135628993	0.107005143848597	655	530	243	0.206346654544522	8322	16398000	33
8122HTg	20220721 145521	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0410887461793376	0.282045329325832	77	1830	392	0.200649632038061	8668	15812000	34
8122HTg	20220721 145547	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0322795807762188	0.352366631989251	1262	2534	409	0.21365285498415	8476	15764000	35
8122HTg	20220721 145611	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0284929075263557	0.254424928557128	954	1463	367	0.2087772023264	8550	16170000	36
8122HTg	20220721 145634	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.050615608488454	0.222089155739057	206	865	174	0.216076461334853	8002	15998000	37
8122HTg	20220721 145711	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.026564820314222	0.448372718235012	204	1400	502	0.194874900077134	8848	16352000	38
8122HTg	20220721 145743	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0333984528722474	0.491023203732329	1716	766	281	0.186587429667521	8726	16234000	39
8122HTg	20220721 145837	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.015620816402277	0.552301665915293	54	1199	644	0.192420044624176	9012	16308000	40
8122HTg	20220721 145855	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0459899206922739	0.268316979431082	1450	1975	231	0.213567415371772	8444	16036000	41
8122HTg	20220721 145936	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0190932409919566	0.437258825227269	429	982	479	0.206519174634931	8352	15888000	42
8122HTg	20220721 145952	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0554270302250399	0.265837655665702	712	1350	136	0.211588973532516	8548	15812000	43
8122HTg	20220721 150030	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0218739635475562	0.39967930342874	215	1707	597	0.199334326198641	8848	16232000	44
8122HTg	20220721 150101	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201004118690966	0.130289872647845	827	2483	896	0.209152281895444	8698	16022000	45
8122HTg	20220721 150123	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0457512874928536	0.164539702309412	1135	2079	496	0.178058474806577	9766	15914000	46
8122HTg	20220721 150148	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.033423146729602	0.242060322468984	219	1839	481	0.181566208284754	9652	16028000	47
8122HTg	20220721 150223	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0492001137701795	0.291734831772163	1541	2467	791	0.14809785298316	10774	15386000	48
8122HTg	20220721 150245	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0359061167147593	0.253658918056521	797	1198	308	0.201512772008579	8758	15602000	49
8122HTg	20220721 150318	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0296940523408819	0.357291369342245	659	1454	522	0.201775280764964	8330	15670000	50
8122HTg	20220721 150343	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0332435723986942	0.13582670480595	1290	1762	592	0.209442630507418	8336	16504000	51
8122HTg	20220721 150439	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0138662690653582	0.329606775216758	1769	1765	800	0.198343865706321	9120	16680000	52
8122HTg	20220721 150521	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0280702003798331	0.597757810556679	1511	606	236	0.188789495845586	8922	16398000	53
8122HTg	20220721 150625	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0142038142682402	0.346682343800203	1125	436	794	0.152570986783315	8706	16014000	54
8122HTg	20220721 150658	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0356179164160858	0.321097027469077	1456	2478	486	0.175146359062196	10236	15924000	55
8122HTg	20220721 150723	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.055372480864462	0.264765612095827	672	477	265	0.129940493332929	9096	15984000	56
8122HTg	20220721 150759	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0276218661554507	0.278818507075892	1528	1427	710	0.186608340281072	8970	15630000	57
