Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.224016262574303	0.016780817321573	0.00691722388747983
mcuenta_corriente_lag1	0.0861825705561611	0.00329790977675542	0.00668664975789716
cpayroll_trx	0.0342147659090717	0.0159254552051195	0.00714779801706249
mpasivos_margen_mean6	0.0262338453848625	0.00207952001949239	0.00438090846207056
Visa_Finiciomora_mean6	0.025347811892998	0.00589956904318019	0.00184459303666129
mtarjeta_visa_consumo	0.0201044743706395	0.0168628637740457	0.0112981323495504
mpasivos_margen	0.0156280175622879	0.00725176986941187	0.00760894627622781
mv_mfinanciacion_limite	0.0151922046335008	0.00115403806777208	0.00161401890707863
mcaja_ahorro	0.0138914946783867	0.0094982464211081	0.012912151256629
mprestamos_personales	0.0123273157630481	0.00744281135316166	0.00345861194373991
mpayroll_sobre_edad	0.0123040679354906	0.0103920103862707	0.00184459303666129
mcuentas_saldo	0.0114746936667636	0.00588783696923683	0.00783952040581047
mcuenta_corriente_delta1	0.0108575568822915	0.00710444733716921	0.00461148259165322
cprestamos_personales_delta3	0.00859079224335519	0.00187547511538333	0.000922296518330643
ctrx_quarter	0.00651618922080745	0.00650585506634254	0.00783952040581047
Visa_Finiciomora	0.00643328126293252	0.00395734452357414	0.0011528706479133
foto_mes	0.00616702650742157	0.00589243661630884	0.00507263085081854
mv_Finiciomora_lag1	0.00593942531865686	0.00425288300011197	0.00161401890707863
mcuentas_saldo_delta2	0.00583066000774172	0.00373976956925516	0.00391976020290523
mv_Finiciomora	0.00579029808781633	0.00593720015361384	0.00138344477749596
mprestamos_personales_delta2	0.00561119527636799	0.00787746561017548	0.00276688955499193
mcaja_ahorro_delta3	0.0054238307874935	0.00240890282805546	0.0041503343324879
mv_Finiciomora_delta1	0.00539469510817072	0.00620874537415619	0.00161401890707863
mdescubierto_preacordado_delta3	0.00499050039248922	0.00443033867284413	0.00138344477749596
tmobile_app_delta2	0.00469650554709295	0.00109908393307479	0.00207516716624395
cliente_vip_lag1	0.00450800387966554	0.00562059896130824	0.00161401890707863
mactivos_margen	0.00446747173756912	0.00571652365925681	0.00830066866497579
mcuenta_corriente_mean6	0.00438356425226795	0.00296506484159775	0.00461148259165322
mprestamos_personales_delta3	0.00398874396913214	0.00271875572349841	0.00184459303666129
mv_mfinanciacion_limite_mean6	0.00383161746295418	0.00126146188340066	0.00207516716624395
mactivos_margen_mean6	0.00358964003876209	0.00402840237953968	0.0053032049804012
mv_fechaalta_delta2	0.00337045261495139	0.00438607946106669	0.0011528706479133
mv_msaldototal	0.00321350863166408	0.00204032760644271	0.00207516716624395
mcuenta_corriente_lag2	0.00319159503847998	0.002188977245909	0.00253631542540927
ctrx_quarter_normalizado_delta1	0.00314846006687998	0.0020707544205195	0.00253631542540927
cproductos_delta3	0.00309997262671741	0.00482387491024849	0.00138344477749596
cprestamos_personales_delta2	0.00300205593730709	0.00141263067224664	0.000691722388747983
mrentabilidad_annual_delta1	0.00297693848415162	0.00491376628880223	0.00553377910998386
mcomisiones_mantenimiento_mean6	0.00291533639088058	0.000780361351817886	0.00207516716624395
mdescubierto_preacordado_mean6	0.00278801082659763	0.0010693882051436	0.000691722388747983
mv_mpagominimo	0.00272117255481549	0.00423238904458291	0.00322803781415725
ctrx_quarter_normalizado_delta3	0.00270146424265616	0.00110706640248154	0.00138344477749596
ccomisiones_mantenimiento_delta3	0.00250938695264734	0.00157792677150962	0.0011528706479133
ccaja_ahorro	0.00249359358350701	0.008700324132247	0.00253631542540927
mcuenta_corriente	0.00244787395762696	0.000954636180252134	0.00322803781415725
cproductos	0.00234095781828354	0.00802139540705092	0.00553377910998386
chomebanking_trx_mean6	0.00229814668133305	0.00117650471676521	0.00368918607332257
thomebanking_mean6	0.00228791238206393	0.000748529365386656	0.00184459303666129
Visa_msaldototal	0.00224397531179266	0.000354889041141227	0.0011528706479133
chomebanking_trx_lag3	0.00215512099185404	0.00136956474175431	0.00484205672123588
mrentabilidad_annual_delta2	0.00214974111243246	0.00245520288539529	0.00461148259165322
mcuentas_saldo_delta1	0.00211673750862356	0.00460913880060676	0.00507263085081854
mcuentas_saldo_lag1	0.00210735506983223	0.00449114893148061	0.00368918607332257
mactivos_margen_delta3	0.00210090160345728	0.00328928791675354	0.00438090846207056
mcaja_ahorro_dolares_delta1	0.00202283307989325	0.00334485046381945	0.00322803781415725
ccomisiones_mantenimiento_mean6	0.00200714690821052	0.00690145197537426	0.00322803781415725
mrentabilidad_delta3	0.00198120406944328	0.00145262232354024	0.00507263085081854
mpayroll	0.00196205637448817	0.00645890322711697	0.00184459303666129
mv_msaldopesos	0.00190302757000209	0.000793027729072743	0.0011528706479133
mcomisiones_lag1	0.00187257321444276	0.00141906670858607	0.00322803781415725
mactivos_margen_delta2	0.00186575253378975	0.00201892289105429	0.00368918607332257
mpasivos_margen_delta3	0.00183553133249979	0.00165422242601324	0.00391976020290523
ctrx_quarter_delta1	0.00181022459472261	0.00122728546478725	0.00299746368457459
mcuenta_debitos_automaticos	0.00179438547556616	0.0104704596470812	0.00207516716624395
ctarjeta_visa_trx	0.00178870396252539	0.00223911364681966	0.00461148259165322
mrentabilidad_annual	0.00178222882894081	0.00193237468270536	0.00184459303666129
mtarjeta_visa_debitos_automaticos_delta3	0.00177251670088353	0.00326475687874586	0.00161401890707863
cliente_edad_lag2	0.00176899677957243	0.00755579761914213	0.00576435323956652
mv_mlimitecompra_lag2	0.00171981934370995	8.0400889080553e-05	0.000461148259165322
mcuentas_saldo_delta3	0.0017072334915121	0.00152001483574528	0.00345861194373991
mprestamos_personales_delta1	0.00169989656980599	0.00299881128242722	0.00207516716624395
chomebanking_trx_lag2	0.00169834774725994	0.00247741551293105	0.00322803781415725
Visa_mpagominimo	0.00167287855719042	0.00290792612236708	0.00322803781415725
mpayroll_lag2	0.00166598146571595	0.000513415778347538	0.000461148259165322
mpasivos_margen_lag1	0.00162792654288195	0.0016473551727608	0.00322803781415725
cliente_edad	0.00159047086324689	0.00246452237505815	0.00438090846207056
chomebanking_trx_delta1	0.00157331878537375	0.00287531348462783	0.00345861194373991
Master_Fvencimiento_delta3	0.00156167376028648	0.000245814705604267	0.000691722388747983
mcuenta_corriente_delta3	0.00155504660928509	0.00503374372094118	0.00391976020290523
cliente_edad_mean6	0.00152168625735971	0.0059510945077675	0.00553377910998386
mrentabilidad_delta1	0.00151588946130714	0.0010151032001389	0.00391976020290523
chomebanking_trx_delta3	0.00150122670794591	0.00313396308903916	0.00438090846207056
ctrx_quarter_normalizado_delta2	0.00148005617164752	0.00158731813065798	0.00230574129582661
mrentabilidad_annual_lag1	0.00146901759663709	0.00147652388398526	0.00345861194373991
cproductos_delta2	0.00146541984356343	0.000184859468867724	0.000230574129582661
mrentabilidad_annual_delta3	0.00146401297372632	0.00119955375641671	0.00391976020290523
mv_status07_delta1	0.0014628491644473	0.00232171894649857	0.000461148259165322
ctrx_quarter_delta2	0.00143466012489799	0.00135282286901997	0.00230574129582661
mv_status01_delta2	0.00142713491619916	7.4489004333642e-05	0.000230574129582661
mcomisiones_mean6	0.00141994558284089	0.00295903523959011	0.00322803781415725
mpasivos_margen_delta2	0.00140736751877945	0.000839223699571504	0.00322803781415725
mpagomiscuentas	0.00140222064373796	0.00527054500176049	0.00161401890707863
internet_mean6	0.00138937858018458	0.00128885283127961	0.00207516716624395
cliente_edad_lag1	0.00137293830673722	0.00165201429802771	0.00368918607332257
ctransferencias_emitidas_mean6	0.00134886190254962	0.000899006720216959	0.00184459303666129
ccaja_seguridad	0.00130609350860646	0.00265091464657352	0.000691722388747983
mv_mpagospesos	0.00129326097269439	0.00294393521286073	0.00322803781415725
mv_fechaalta	0.00129209043435085	0.00105739963148475	0.00230574129582661
