Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.137940390235504	0.0128498975139131	0.00438562546758507
ctrx_quarter	0.0677185439720778	0.00733034103281861	0.00403735520986508
mcaja_ahorro	0.046765905393814	0.00695239627533244	0.00811340711503238
mpasivos_margen	0.0328125972090718	0.00622385392909845	0.00448881665505766
mtarjeta_visa_consumo	0.0213868169387345	0.0102917053588671	0.00719758532621314
mcuentas_saldo	0.0200594084802907	0.006960085016674	0.0065784382013776
cpayroll_trx	0.0195520363065813	0.0084029547949845	0.00254108299151253
mpayroll	0.0174097056208915	0.0128989292596106	0.00330211799912288
ctarjeta_visa_trx	0.016292718130302	0.00724423944994975	0.00601088667027836
mpayroll_sobre_edad	0.0147621140450865	0.01307746051207	0.0040760519051673
mcaja_ahorro_lag1	0.0136352972705964	0.00347540262721572	0.00487578360807987
mv_mpagospesos	0.0109141632878002	0.00256686554533236	0.0025023862962103
mv_Finiciomora	0.00936104023757414	0.00462960466525261	0.00108350746846219
mprestamos_personales	0.00886430699781221	0.0067998838171785	0.00297964553827103
mvr_mpagospesos	0.00883015397498271	0.0018835900012803	0.00162526120269329
mcuenta_corriente_delta3	0.00852823930261604	0.00329230204201807	0.00296674663983696
mcuentas_saldo_mean6	0.00844090197685794	0.0011304482253809	0.00241209400717179
ctrx_quarter_mean6	0.00758652666932252	0.00132454720026091	0.00172845239016588
mv_Finiciomora_lag1	0.00749776631111447	0.00638340064608194	0.00178004798390217
foto_mes	0.0074152728894331	0.00592085585062985	0.00641075252173464
Visa_Finiciomora_mean6	0.00734625657813257	0.00249825541884249	0.00126409204653923
mv_Finiciomora_delta1	0.00623267523614475	0.0051069940105778	0.001225395351237
cproductos_delta3	0.00579578494871599	0.00390883633786911	0.00161236230425922
mcuentas_saldo_lag2	0.0057577650287824	0.000962430953315814	0.00264427417898512
cprestamos_personales_delta3	0.00537394183576924	0.000588986976187782	0.000477259242060728
mprestamos_personales_delta3	0.00532095860919117	0.00490137706577742	0.00194773366354513
mactivos_margen	0.00515951017582256	0.00612527636368069	0.00670742718571834
mdescubierto_preacordado	0.00490089427227536	0.000352254340093562	0.000451461445192581
mdescubierto_preacordado_delta3	0.00467183245036133	0.00108563534181993	0.00055465263266517
mcuentas_saldo_delta2	0.00461555791545896	0.0029975200626581	0.00464360343626654
Visa_Finiciomora	0.00443757894407859	0.00431762120057508	0.00109640636689627
mrentabilidad_mean6	0.00437175441553395	0.00128236325917852	0.00245079070247401
mcuentas_saldo_delta3	0.00434947528874288	0.00197595958429681	0.00437272656915099
mpasivos_margen_mean6	0.0042918436686659	0.00110098192086988	0.00205092485101772
cliente_vip_lag1	0.0042093064571267	0.00635342542962499	0.00168975569486366
mprestamos_personales_delta2	0.00398657410388324	0.00703590842281725	0.00243789180403994
mv_status06_delta3	0.00393638944400975	0.000524154732819362	0.000154786781208885
cprestamos_personales_mean6	0.00355498156142406	0.00116126231373357	0.000980316280989604
mcuenta_corriente	0.00313436815664109	0.00156256154561359	0.00346980367876583
mcaja_ahorro_mean6	0.00308289357524653	0.00231687222218619	0.00399865851456286
mrentabilidad_annual_delta1	0.00297458295104887	0.00297863064705086	0.00524985166266801
mv_status07	0.00296165048460163	0.000183218349376641	0.000193483476511106
mv_status05	0.0029103397534067	6.9228956258037e-06	2.57977968681475e-05
mv_msaldototal	0.00285796309667123	0.00149759288576196	0.00168975569486366
mactivos_margen_mean6	0.00276996584987476	0.00355755239938842	0.00448881665505766
mprestamos_personales_lag1	0.00259733297574382	0.00102619368319657	0.000980316280989604
mv_mpagominimo	0.00254127500182508	0.00420164722981935	0.00323762350695251
ccaja_ahorro	0.00241845298228296	0.00854503400762541	0.00199932925728143
