fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220617 140738	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	64	TRUE	0.156064760595327	0.349438249953091	13745	1795	0.039478777567759	104417000	HT7310	1610	1658475	1
20220617 142141	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	41	TRUE	0.202211337050307	0.788684138823301	12708	846	0.0266958198645928	118813000	HT7310	1610	1658475	2
20220617 144248	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	41	TRUE	0.0820914740412263	0.859108214247972	3088	1338	0.0352785210750881	106473000	HT7310	1610	1658475	3
20220617 150738	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	63	TRUE	0.140379433276714	0.380735363205895	15315	484	0.0123397913353983	126181000	HT7310	1610	1658475	4
20220617 152740	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	77	TRUE	0.106430896509904	0.638676500748843	7255	1129	0.0468326914633508	91673000	HT7310	1610	1658475	5
20220617 154145	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	43	TRUE	0.17995994806313	0.724174712598324	9643	820	0.0216289482302576	121976000	HT7310	1610	1658475	6
20220617 163957	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	157	TRUE	0.0384976355014369	0.400812731618062	8300	575	0.0198117898165947	128740000	HT7310	1610	1658475	7
20220617 165737	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	20	TRUE	0.244654472749215	0.533694489011541	4812	1315	0.0284286314432393	106416000	HT7310	1610	1658475	8
20220617 171108	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	32	TRUE	0.192025127061293	0.935076387999579	6409	1029	0.0432209048007887	94413000	HT7310	1610	1658475	9
20220617 172231	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	32	TRUE	0.226710716317175	0.836094909720123	14312	146	0.0356338316041123	108770000	HT7310	1610	1658475	10
20220617 175951	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	196	TRUE	0.0828708619405515	0.283244065977633	18904	1508	0.0396437689943317	104697000	HT7310	1610	1658475	11
20220617 182304	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	73	TRUE	0.0656791553824441	0.216785596394911	5646	1664	0.0237140089952542	123465000	HT7310	1610	1658475	12
20220617 184815	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	37	TRUE	0.125458440882619	0.593577857296914	471	668	0.00907624454606169	104702000	HT7310	1610	1658475	13
20220617 190525	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	32	TRUE	0.262070662295679	0.451339657744393	11656	1157	0.0496897735118788	88386000	HT7310	1610	1658475	14
20220617 191537	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	32	TRUE	0.282774291219772	0.979560788311064	16877	48	0.0131120828218021	121985000	HT7310	1610	1658475	15
20220617 193043	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	52	TRUE	0.146952397278044	0.663628401951864	10415	1588	0.0159512622699064	127111000	HT7310	1610	1658475	16
20220617 200838	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	85	TRUE	0.0480141834511887	0.917645131014287	2130	1961	0.0440630871336907	97088000	HT7310	1610	1658475	17
20220617 202718	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	24	TRUE	0.231621684442391	0.507577410386875	1459	364	0.0294713692458269	92089000	HT7310	1610	1658475	18
