fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220617 203955	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	36	TRUE	0.295845234222477	0.249028648547828	19828	1944	0.0173980500044612	121972000	HT7310	1610	1658475	19
20220617 214926	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	451	TRUE	0.0201472318860469	0.71102315897122	17564	235	0.0314293408902207	116887000	HT7310	1610	1658475	20
20220618 011653	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	717	TRUE	0.0100458374700082	0.384826309664388	12484	1293	0.0180051708303509	130805000	HT7310	1610	1658475	21
20220618 034709	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	952	TRUE	0.0105498824234012	0.999162735358256	10801	1513	0.0183260331389106	129484000	HT7310	1610	1658475	22
20220618 065449	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	1108	TRUE	0.0102466280356147	0.200547715168329	12365	52	0.0169970119495396	132020000	HT7310	1610	1658475	23
20220618 085200	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	1174	TRUE	0.0102352167215202	0.833840353573758	12873	27	0.0162954412945344	130967000	HT7310	1610	1658475	24
20220618 110306	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	809	TRUE	0.0123223661139184	0.204669049252399	11549	591	0.016053384881109	131387000	HT7310	1610	1658475	25
20220618 144204	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	869	TRUE	0.0100884521876794	0.510450421648866	19976	32	0.0160305329758599	131387000	HT7310	1610	1658475	26
20220618 174903	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	674	TRUE	0.0102630525401146	0.358065059069274	15172	61	0.0169480589832331	132029000	HT7310	1610	1658475	27
20220618 181551	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	160	TRUE	0.0680504255249786	0.998597265823105	19995	99	0.018045570579092	130950000	HT7310	1610	1658475	28
20220618 185124	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	193	TRUE	0.0419851971931192	0.792240429226961	18140	613	0.0170898811249465	131020000	HT7310	1610	1658475	29
20220618 192916	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	216	TRUE	0.0471960626939888	0.200243392407553	19958	104	0.0176879790845002	129987000	HT7310	1610	1658475	30
20220618 194819	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	94	TRUE	0.0967926139267978	0.911441062462214	19939	2048	0.0197747802407181	130188000	HT7310	1610	1658475	31
20220618 202044	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	149	TRUE	0.0444777121045112	0.624306215200037	11891	2048	0.0194195025593199	129151000	HT7310	1610	1658475	32
20220619 000950	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	913	TRUE	0.0104718425325982	0.47401939239864	13546	173	0.0173289776789674	130744000	HT7310	1610	1658475	33
20220619 003523	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	136	TRUE	0.0669989422893253	0.897757498357938	19998	1311	0.0144947711713368	130404000	HT7310	1610	1658475	34
20220619 031124	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	1114	TRUE	0.0171732661220245	0.874081848987104	19543	16	0.0147846601155964	131347000	HT7310	1610	1658475	35
20220619 034341	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	380	TRUE	0.0551428041111256	0.783412730873736	19592	16	0.0166320168078888	131472000	HT7310	1610	1658475	36
20220619 040316	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	86	TRUE	0.0793965510265849	0.871242865345953	16401	1419	0.0196311900650362	130985000	HT7310	1610	1658475	37
20220619 090313	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	2189	TRUE	0.0101985010213555	0.291732861806446	12040	16	0.0157802220737946	131834000	HT7310	1610	1658475	38
20220619 091930	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	58	TRUE	0.100514183856476	0.999099953617495	16224	1931	0.0166308239519779	129966000	HT7310	1610	1658475	39
20220619 143455	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	2401	TRUE	0.010958275488633	0.233928961273048	19974	1663	0.00833944677910677	121089000	HT7310	1610	1658475	40
20220619 173632	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	1009	TRUE	0.0100306316669966	0.257178295375666	12069	777	0.0190527030680841	130564000	HT7310	1610	1658475	41
20220619 175525	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	92	TRUE	0.101592786685365	0.914703697681922	19990	1135	0.0173609400598555	128995000	HT7310	1610	1658475	42
