fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220621 175624	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	33	TRUE	0.206206081175827	0.877789825219661	8595	1504	0.0301480350070051	111208000	HT7320	2092	1658475	31
20220621 182618	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	37	TRUE	0.15366605583718	0.563988146772608	11335	1377	0.0147678668804777	126106000	HT7320	2092	1658475	32
20220621 191025	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	75	TRUE	0.0909563630659831	0.540703304940835	9665	734	0.033041536451492	111798000	HT7320	2092	1658475	33
20220621 193139	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	31	TRUE	0.260371513227234	0.360357684297487	14232	235	0.0387078935115521	101738000	HT7320	2092	1658475	34
20220621 195039	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	39	TRUE	0.227849514658563	0.249395248703659	16514	567	0.0237079857344118	116950000	HT7320	2092	1658475	35
20220621 201705	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	83	TRUE	0.108235324539826	0.950415086951107	16239	1214	0.0481951837277544	94574000	HT7320	2092	1658475	36
20220621 210834	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	82	TRUE	0.061877688387176	0.497061678143218	6681	1252	0.0208004042545023	125523000	HT7320	2092	1658475	37
20220621 212817	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	53	TRUE	0.19628048958804	0.664202042315155	17496	640	0.0415740488868323	102230000	HT7320	2092	1658475	38
20220621 215825	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	68	TRUE	0.122256573077757	0.309790378334001	8810	1999	0.034820668551644	106427000	HT7320	2092	1658475	39
20220621 221842	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	36	TRUE	0.173760085163754	0.994585500070825	7765	460	0.0278684092942664	115557000	HT7320	2092	1658475	40
