Feature	Gain	Cover	Frequency
mcaja_ahorro	0.100620932614836	0.0146092991795694	0.00739366963402572
ctrx_quarter_normalizado	0.0746802331256646	0.0104758628578616	0.00534124629080119
ctrx_quarter	0.0490267820218029	0.00699442802888588	0.00395647873392681
mv_status05_delta2	0.03260699316145	0.000946128417206524	0.000370919881305638
mdescubierto_preacordado_delta2	0.0283943982013084	0.00383607994393253	0.00202769535113749
mv_status04_delta3	0.0279419525810982	0.00130762589333948	0.000816023738872404
mcaja_ahorro_lag1	0.0275964971086191	0.00354064122176008	0.00415430267062315
mcuentas_saldo	0.0274072744452117	0.0147465012805205	0.0101632047477745
mv_status01	0.027148085160603	0.0027212714592928	0.00111275964391691
mtarjeta_visa_consumo	0.0258635976980884	0.0115944548709802	0.00482195845697329
mv_status06_delta2	0.0217745895202416	0.000411381565818279	0.000222551928783383
mv_Finiciomora	0.0198312387598706	0.00862780022710153	0.00343719090009891
mdescubierto_preacordado_delta3	0.0190320688935406	0.00499622542993285	0.00286844708209693
ctarjeta_visa_trx	0.0164101064694543	0.00933371045720451	0.00506923837784372
mdescubierto_preacordado	0.0156887178408417	0.00189434622036845	0.00195351137487636
mcuenta_corriente	0.0147206994086794	0.00547440435969812	0.00692383778437191
mdescubierto_preacordado_mean6	0.0129623775234616	0.00152073168029016	0.0018051434223541
mcuenta_corriente_delta3	0.0129592085214879	0.00585124016199155	0.00450049455984174
Visa_Finiciomora	0.0122470498895493	0.00469612494423318	0.00163204747774481
mpayroll	0.0121020918478296	0.0150014028835147	0.00509396636993076
mv_status06_delta3	0.0110722206809896	0.000841326486028662	0.000667655786350148
mv_mpagospesos	0.010745727437341	0.00399141918035801	0.00323936696340257
cpayroll_trx	0.0103167828601427	0.0104250156094558	0.00380811078140455
Visa_delinquency	0.00947590079546101	0.000321916266093458	0.000247279920870425
mprestamos_personales	0.00919064236383982	0.0123227442775457	0.00974282888229476
ctrx_quarter_lag2	0.00887859246279114	0.0012835634016509	0.00140949554896142
mv_status07_delta3	0.00877279816508732	0.000265493806857887	0.00029673590504451
mprestamos_personales_delta2	0.00868763135189571	0.0208954606759773	0.00934718100890208
mprestamos_personales_delta3	0.00800032715877706	0.00780204424215069	0.004648862512364
mv_Finiciomora_lag1	0.00780144009625812	0.00414478822525038	0.00212660731948566
mv_Finiciomora_mean6	0.00751018211100837	0.006619930169637	0.00311572700296736
mpayroll_sobre_edad	0.00677920515021346	0.0106572992705413	0.00398120672601385
cproductos_delta2	0.00637828500144883	0.00778709099117757	0.00378338278931751
mprestamos_personales_delta1	0.00608845926779356	0.00824662616209842	0.00615727002967359
mv_msaldototal	0.00536767430431679	0.00532354461160115	0.00452522255192878
mv_msaldopesos	0.00533845913493302	0.00575313496135785	0.00450049455984174
mcuentas_saldo_delta3	0.00530320515570487	0.00562553074176345	0.00657764589515331
cproductos_delta3	0.00518748821816465	0.00467138654673288	0.003486646884273
mv_status07_mean6	0.00501755790031725	0.00031473805033949	0.000346191889218595
cproductos	0.00497350252551378	0.0122114972798764	0.00999010880316518
mcuenta_corriente_delta2	0.00470057531898149	0.00154502841820518	0.00294263105835806
mv_status01_mean6	0.00463145743478027	0.0013176804983474	0.00101384767556874
Visa_mpagospesos	0.00455676863710418	0.000953689919290001	0.00173095944609298
ctrx_quarter_normalizado_delta2	0.00449095097829799	0.00225693207527054	0.00353610286844708
mcuentas_saldo_lag1	0.00446534768129485	0.00252077081202613	0.00353610286844708
Visa_msaldototal	0.00416078304809939	0.00404637524691805	0.00311572700296736
ctrx_quarter_delta1	0.00405739383195388	0.00409751756271675	0.00501978239366963
ctrx_quarter_normalizado_delta1	0.00389832078679392	0.0034614047053064	0.00482195845697329
ctrx_quarter_delta2	0.00387261252251907	0.00248344789378216	0.0044757665677547
mv_status06	0.0035136270085193	0.000320950377011063	0.000148367952522255
mv_status07	0.00349742733722355	0.00034922911247465	0.000222551928783383
ctrx_quarter_lag1	0.00339633427780525	0.00112735176750269	0.00165677546983185
mprestamos_personales_lag1	0.00320647193275918	0.00336691855238088	0.00440158259149357
mpasivos_margen	0.00319403430367949	0.00265814888009821	0.00378338278931751
Visa_msaldopesos	0.00298577024852191	0.00420103245775499	0.00425321463897132
mvr_mpagospesos	0.00296617381068627	0.000384972375096784	0.000890207715133531
ccaja_ahorro_delta3	0.0028884082516117	0.00835157176680585	0.00150840751730959
ctrx_quarter_delta3	0.00282331806642367	0.00269539007578409	0.00422848664688427
mautoservicio	0.00276568372635877	0.00223683802347113	0.00138476755687438
ctrx_quarter_normalizado_delta3	0.00275999288738882	0.00219272733123405	0.0036597428288823
Visa_Finiciomora_mean6	0.00252676454051055	0.00241865499211845	0.00136003956478734
Visa_Finiciomora_lag1	0.00250981019623019	0.00112202718507109	0.000469831849653808
mprestamos_personales_mean6	0.00240909504935799	0.00385029505567122	0.00514342235410485
mcaja_ahorro_lag2	0.00233506393348536	0.000883848107602646	0.00217606330365974
cprestamos_personales	0.00230433957081449	0.00335936674778989	0.00363501483679525
mcuentas_saldo_delta2	0.00225626048119123	0.00378869592430217	0.00561325420375866
mv_mpagominimo	0.00223795295729917	0.00760109666287563	0.00590999010880316
mcuenta_debitos_automaticos	0.00219155314868689	0.0101695024053816	0.00477250247279921
mprestamos_personales_lag2	0.00215221619247708	0.00334642360812481	0.00361028684470821
ccaja_ahorro_delta2	0.00190584187614356	0.00739393421486785	0.00143422354104847
mrentabilidad_mean6	0.00187264740324914	0.00112853250782653	0.00304154302670623
ccaja_ahorro	0.0018457638560369	0.00719516442878558	0.00237388724035608
mv_status04_delta2	0.00180352077207266	0.000896517457868022	0.000544015825914936
cprestamos_personales_mean6	0.0017921861770499	0.00169449747055831	0.00279426310583581
mpayroll_sobre_edad_delta3	0.00175405854626387	0.00510757674625923	0.00323936696340257
Visa_mpagominimo	0.00171870430402463	0.00677527835035168	0.0056379821958457
ctarjeta_debito_trx	0.00167804042050082	0.00153486026779972	0.00103857566765579
ctarjeta_visa_trx_delta2	0.00152904306048784	0.00390568091886457	0.00227497527200791
mpayroll_sobre_edad_delta2	0.00152258039079281	0.00517972364249715	0.00346191889218595
cproductos_delta1	0.00151676426340054	0.00463621054034638	0.00202769535113749
ctrx_quarter_normalizado_lag1	0.00149805170844747	0.00138669585771335	0.00178041543026706
mactivos_margen_mean6	0.00145662427171726	0.000667201323635794	0.0021513353115727
mactivos_margen	0.00143141454345028	0.00254930912017713	0.00521760633036598
ccaja_seguridad	0.00140564748359846	0.00981327810555496	0.00274480712166172
mcuentas_saldo_delta1	0.00136576513332099	0.00437341621411725	0.00487141444114738
mv_mpagominimo_delta3	0.00135088803766882	0.0037885784245873	0.00301681503461919
Visa_status	0.00135024515018018	0.000399520967596745	0.000272007912957468
mpayroll_delta2	0.00133917706921975	0.0051121272239988	0.00346191889218595
mrentabilidad	0.00133258249622457	0.000938416368613372	0.00286844708209693
ccheques_emitidos_rechazados_mean6	0.00132926762979416	0.0147732808589649	0.00264589515331355
mv_status06_mean6	0.00129045651737079	0.000183363954076001	0.000272007912957468
mcomisiones_mantenimiento	0.00127581760265511	0.00732588116686862	0.00492087042532146
mdescubierto_preacordado_delta1	0.00123423988783817	0.00241990276753603	0.00113748763600396
mpayroll_lag1	0.00118722761819651	0.0008409802949617	0.000865479723046489
cpayroll_trx_lag1	0.00118438035736719	0.00145469034415598	0.000741839762611276
cpayroll_trx_mean6	0.00118301667967595	0.00276056400416741	0.00163204747774481
mprestamos_personales_lag3	0.00114836546151364	0.00157173088746178	0.00217606330365974
mpasivos_margen_mean6	0.00113768088132039	0.000731686918352933	0.00160731948565776
ctarjeta_visa_trx_delta3	0.00113116316661622	0.00225640586861477	0.0024975272007913
mcuenta_corriente_lag1	0.00111243827928448	0.00197485951056678	0.00380811078140455
mpayroll_delta3	0.00110576208524703	0.00375834088979052	0.00257171117705242
mrentabilidad_annual_delta1	0.00110078416210064	0.00444482450036869	0.00521760633036598
mv_status04	0.00107159833549905	9.91510234163496e-05	0.00019782393669634
cproductos_mean6	0.00104950307687411	0.00283998467882804	0.00390702274975272
mcuenta_corriente_mean6	0.00102025953749963	0.00296948489943046	0.00516815034619189
