experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTh	20220722 141050	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0321834246321814	0.452353621323709	970	2297	764	0.16679758259781	10490	16030000	23
8122HTh	20220722 141134	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0270784806811716	0.443787715869141	1435	1973	944	0.188488863231034	9266	15574000	24
8122HTh	20220722 141207	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.03642410422588	0.279692261580727	1197	1684	840	0.193558576646323	8734	15626000	25
8122HTh	20220722 141314	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0157311677632853	0.594859796612873	1406	1343	1168	0.193942026348452	8988	16452000	26
8122HTh	20220722 141334	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0503393224697793	0.191834779089666	476	2344	496	0.201389626474333	9056	15424000	27
8122HTh	20220722 141355	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0315200393733685	0.234370828462058	293	2371	449	0.209242423997931	8760	16440000	28
8122HTh	20220722 141446	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0174219298528437	0.577880248817902	1484	1474	847	0.216130543042221	8206	16154000	29
8122HTh	20220722 141507	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0303370798927659	0.227666733109224	376	1496	450	0.209091231593863	8618	16102000	30
8122HTh	20220722 141537	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0303439254044672	0.233927633655978	179	1989	749	0.182587588110092	9586	16094000	31
8122HTh	20220722 141611	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042645215399377	0.572970905889757	584	1796	553	0.213130998608979	8266	16454000	32
8122HTh	20220722 141706	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0272711263895268	0.362631405337714	1361	1784	1454	0.186010942351847	8894	15466000	33
8122HTh	20220722 141733	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319860344958142	0.226536941436818	1476	1570	675	0.205567876647031	8468	15892000	34
8122HTh	20220722 141758	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0473779477705481	0.262968906419934	1143	1850	637	0.171652935044097	10036	15884000	35
8122HTh	20220722 141841	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0216470282191294	0.269228929166566	172	1779	1182	0.180033662320324	9586	16214000	36
8122HTh	20220722 141916	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0246047135628993	0.107005143848597	655	530	1005	0.177111383734965	8944	15896000	37
8122HTh	20220722 141940	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0410887461793376	0.282045329325832	77	1830	520	0.176940517147114	9992	16288000	38
8122HTh	20220722 142013	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0322795807762188	0.352366631989251	1262	2534	602	0.214039621567848	8500	15740000	39
8122HTh	20220722 142042	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0284929075263557	0.254424928557128	954	1463	720	0.199618526970553	8806	16154000	40
8122HTh	20220722 142107	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.050615608488454	0.222089155739057	206	865	630	0.170418057322968	9210	14910000	41
8122HTh	20220722 142146	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.026564820314222	0.448372718235012	204	1400	757	0.206116423884496	8526	15714000	42
8122HTh	20220722 142213	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0333984528722474	0.491023203732329	1716	766	387	0.201248554616042	8742	16098000	43
8122HTh	20220722 142301	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.015620816402277	0.552301665915293	54	1199	791	0.206884432338699	8554	16166000	44
8122HTh	20220722 142319	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0459899206922739	0.268316979431082	1450	1975	283	0.173691647480189	10426	15854000	45
8122HTh	20220722 142406	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0190932409919566	0.437258825227269	429	982	979	0.197722051541897	8796	15564000	46
8122HTh	20220722 142429	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0554270302250399	0.265837655665702	712	1350	474	0.201434236617291	8610	15990000	47
8122HTh	20220722 142512	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0218739635475562	0.39967930342874	215	1707	960	0.196512780105687	9000	15960000	48
8122HTh	20220722 142544	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201004118690966	0.130289872647845	827	2483	989	0.205491112127263	8906	15934000	49
8122HTh	20220722 142610	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0457512874928536	0.164539702309412	1135	2079	804	0.164081736636391	10070	15250000	50
8122HTh	20220722 142639	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.033423146729602	0.242060322468984	219	1839	725	0.166959013743976	10404	15996000	51
8122HTh	20220722 142657	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0492001137701795	0.291734831772163	1541	2467	286	0.20383796716767	8830	15530000	52
8122HTh	20220722 142724	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0359061167147593	0.253658918056521	797	1198	640	0.191632877784334	9108	16212000	53
8122HTh	20220722 142750	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0296940523408819	0.357291369342245	659	1454	448	0.227860626820649	7908	15852000	54
8122HTh	20220722 142808	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0332435723986942	0.13582670480595	1290	1762	395	0.219855291379535	8248	15632000	55
8122HTh	20220722 142858	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0138662690653582	0.329606775216758	1769	1765	1208	0.203139626347419	8854	16106000	56
8122HTh	20220722 142946	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0280702003798331	0.597757810556679	1511	606	589	0.19864589267301	8498	15742000	57
8122HTh	20220722 143029	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0142038142682402	0.346682343800203	1125	436	903	0.222094730100586	7966	16274000	58
8122HTh	20220722 143052	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0356179164160858	0.321097027469077	1456	2478	407	0.22249283293314	8086	15794000	59
8122HTh	20220722 143118	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.055372480864462	0.264765612095827	672	477	603	0.152643396163497	9080	15400000	60
8122HTh	20220722 143143	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0276218661554507	0.278818507075892	1528	1427	517	0.216453783902703	8352	16248000	61
